Time[s], MOSI, MISO, SCLK, CSC
6.225628875000000, 0, 1, 1, 0
6.225629124999999, 0, 1, 0, 0
6.225629250000000, 0, 1, 1, 0
6.225629500000000, 0, 1, 0, 0
6.225629750000000, 0, 1, 1, 0
6.225630000000000, 0, 1, 0, 0
6.225630250000000, 0, 1, 1, 0
6.225630375000000, 0, 1, 0, 0
6.225630625000000, 0, 1, 1, 0
6.225630874999999, 0, 1, 0, 0
6.225631125000000, 0, 1, 1, 0
6.225631249999999, 0, 1, 0, 0
6.225631500000000, 0, 1, 1, 0
6.225631750000000, 0, 1, 0, 0
6.225632750000000, 0, 1, 1, 0
6.225632999999999, 0, 1, 0, 0
6.225633250000000, 0, 1, 1, 0
6.225633500000000, 0, 1, 0, 0
6.225633750000000, 1, 1, 1, 0
6.225633875000000, 1, 1, 0, 0
6.225634125000000, 0, 1, 1, 0
6.225634374999999, 0, 1, 0, 0
6.225634625000000, 1, 1, 1, 0
6.225634749999999, 1, 1, 0, 0
6.225635000000000, 0, 1, 1, 0
6.225635250000000, 0, 1, 0, 0
6.225635500000000, 0, 1, 1, 0
6.225635749999999, 0, 1, 0, 0
6.225635875000000, 0, 1, 1, 0
6.225636124999999, 0, 1, 0, 0
6.225637499999999, 0, 1, 0, 1
6.225859124999999, 0, 1, 0, 0
6.225859874999999, 0, 1, 1, 0
6.225860000000000, 0, 1, 0, 0
6.225860249999999, 0, 1, 1, 0
6.225860500000000, 0, 1, 0, 0
6.225860750000000, 1, 1, 1, 0
6.225860875000000, 1, 1, 0, 0
6.225861125000000, 1, 1, 1, 0
6.225861375000000, 1, 1, 0, 0
6.225861624999999, 0, 1, 1, 0
6.225861875000000, 0, 1, 0, 0
6.225861999999999, 0, 1, 1, 0
6.225862250000000, 0, 1, 0, 0
6.225862500000000, 1, 1, 1, 0
6.225862750000000, 1, 1, 0, 0
6.225862875000000, 0, 1, 1, 0
6.225863125000000, 0, 1, 0, 0
6.225864250000000, 0, 1, 1, 0
6.225864500000000, 0, 1, 0, 0
6.225864750000000, 0, 1, 1, 0
6.225865000000000, 0, 1, 0, 0
6.225865124999999, 0, 1, 1, 0
6.225865375000000, 0, 1, 0, 0
6.225865625000000, 0, 1, 1, 0
6.225865874999999, 0, 1, 0, 0
